Fold,Total,Accuracy,Error Rate,Precision,TPR,TNR,FPR,FNR,F1,BACC,TSS,HSS,BS,BSS,TP,TN,FP,FN
1.0,57.0,0.9649122807017544,0.03508771929824561,0.9411764705882353,0.9411764705882353,0.975,0.025,0.058823529411764705,0.9411764705882353,0.9580882352941176,0.9161764705882351,0.9161764705882353,0.021052631578947368,0.9157894736842105,16.0,39.0,1.0,1.0
2.0,57.0,0.9473684210526315,0.05263157894736842,1.0,0.8846153846153846,1.0,0.0,0.11538461538461539,0.9387755102040816,0.9423076923076923,0.8846153846153846,0.8929242329367564,0.04140350877192983,0.8343859649122807,23.0,31.0,0.0,3.0
3.0,57.0,0.9649122807017544,0.03508771929824561,0.9090909090909091,1.0,0.9459459459459459,0.05405405405405406,0.0,0.9523809523809523,0.972972972972973,0.945945945945946,0.9247027741083224,0.023859649122807015,0.9045614035087719,20.0,35.0,2.0,0.0
4.0,57.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.015438596491228073,0.9382456140350877,17.0,40.0,0.0,0.0
5.0,57.0,0.8947368421052632,0.10526315789473684,0.875,0.7777777777777778,0.9487179487179487,0.05128205128205128,0.2222222222222222,0.823529411764706,0.8632478632478633,0.7264957264957266,0.748898678414097,0.10105263157894738,0.5957894736842104,14.0,37.0,2.0,4.0
6.0,57.0,0.8947368421052632,0.10526315789473684,0.88,0.88,0.90625,0.09375,0.12,0.88,0.893125,0.7862499999999999,0.78625,0.07578947368421053,0.6968421052631579,22.0,29.0,3.0,3.0
7.0,57.0,0.9649122807017544,0.03508771929824561,0.8947368421052632,1.0,0.95,0.05,0.0,0.9444444444444444,0.975,0.95,0.918918918918919,0.023859649122807018,0.9045614035087719,17.0,38.0,2.0,0.0
8.0,57.0,0.9298245614035088,0.07017543859649122,0.9583333333333334,0.8846153846153846,0.967741935483871,0.03225806451612903,0.11538461538461539,0.9199999999999999,0.9261786600496278,0.8523573200992556,0.8576779026217228,0.06877192982456141,0.7249122807017543,23.0,30.0,1.0,3.0
9.0,57.0,0.9122807017543859,0.08771929824561403,0.9583333333333334,0.8518518518518519,0.9666666666666667,0.03333333333333333,0.14814814814814814,0.9019607843137256,0.9092592592592592,0.8185185185185184,0.8230912476722533,0.07298245614035088,0.7080701754385965,23.0,29.0,1.0,4.0
10.0,56.0,0.8928571428571429,0.10714285714285714,0.8823529411764706,0.7894736842105263,0.9459459459459459,0.05405405405405406,0.21052631578947367,0.8333333333333333,0.8677098150782361,0.7354196301564722,0.7547445255474453,0.08214285714285716,0.6714285714285714,15.0,35.0,2.0,4.0
5.5,56.9,0.9366541353383457,0.06334586466165412,0.9299023829627545,0.900951055365916,0.9606268442760377,0.039373155723962175,0.09904894463408395,0.913560090702948,0.9307889498209769,0.861577899641954,0.8623384750807752,0.05263533834586466,0.7894586466165413,19.0,34.3,1.4,2.2
