Fold,Total,Accuracy,Error Rate,Precision,TPR,TNR,FPR,FNR,F1,BACC,TSS,HSS,BS,BSS,TP,TN,FP,FN
1.0,57.0,0.9473684210526315,0.05263157894736842,0.8888888888888888,0.9411764705882353,0.95,0.05,0.058823529411764705,0.9142857142857143,0.9455882352941176,0.8911764705882352,0.8763557483731019,0.05914525696574285,0.7634189721370286,16.0,38.0,2.0,1.0
2.0,57.0,0.9473684210526315,0.05263157894736842,0.9259259259259259,0.9615384615384616,0.9354838709677419,0.06451612903225806,0.038461538461538464,0.9433962264150944,0.9485111662531017,0.8970223325062034,0.8942486085343229,0.03522294919847993,0.8591082032060803,25.0,29.0,2.0,1.0
3.0,57.0,0.9298245614035088,0.07017543859649122,0.8636363636363636,0.95,0.918918918918919,0.08108108108108109,0.05,0.9047619047619048,0.9344594594594595,0.868918918918919,0.8494055482166446,0.05818660955936004,0.7672535617625599,19.0,34.0,3.0,1.0
4.0,57.0,0.9473684210526315,0.05263157894736842,0.8888888888888888,0.9411764705882353,0.95,0.05,0.058823529411764705,0.9142857142857143,0.9455882352941176,0.8911764705882352,0.8763557483731019,0.0352634287009402,0.8589462851962392,16.0,38.0,2.0,1.0
5.0,57.0,0.9473684210526315,0.05263157894736842,0.9411764705882353,0.8888888888888888,0.9743589743589743,0.02564102564102564,0.1111111111111111,0.9142857142857143,0.9316239316239316,0.8632478632478633,0.8763557483731019,0.04765653440022649,0.809373862399094,16.0,38.0,1.0,2.0
6.0,57.0,0.9122807017543859,0.08771929824561403,1.0,0.8,1.0,0.0,0.2,0.888888888888889,0.9,0.8,0.8178913738019169,0.05887277052058546,0.7645089179176582,20.0,32.0,0.0,5.0
7.0,57.0,0.9473684210526315,0.05263157894736842,0.8888888888888888,0.9411764705882353,0.95,0.05,0.058823529411764705,0.9142857142857143,0.9455882352941176,0.8911764705882352,0.8763557483731019,0.04417541312191016,0.8232983475123594,16.0,38.0,2.0,1.0
8.0,57.0,0.9649122807017544,0.03508771929824561,1.0,0.9230769230769231,1.0,0.0,0.07692307692307693,0.9600000000000001,0.9615384615384616,0.9230769230769231,0.9288389513108615,0.039767759461065616,0.8409289621557375,24.0,31.0,0.0,2.0
9.0,57.0,0.9122807017543859,0.08771929824561403,0.9230769230769231,0.8888888888888888,0.9333333333333333,0.06666666666666667,0.1111111111111111,0.9056603773584906,0.9111111111111111,0.8222222222222222,0.8237476808905381,0.058466282281105925,0.7661348708755763,24.0,28.0,2.0,3.0
10.0,56.0,0.9464285714285714,0.05357142857142857,0.9,0.9473684210526315,0.9459459459459459,0.05405405405405406,0.05263157894736842,0.9230769230769231,0.9466571834992887,0.8933143669985775,0.8820224719101124,0.04570295544810766,0.8171881782075694,18.0,35.0,2.0,1.0
5.5,56.9,0.9402568922305763,0.059743107769423556,0.9220482349894115,0.91832909952105,0.9558041043524914,0.044195895647508546,0.08167090047895001,0.918292717764416,0.9370666019367707,0.8741332038735414,0.8701577628156804,0.04824599596575243,0.8070160161369901,19.4,34.1,1.6,1.8
